chart_name,date,title,artist,rank,weeks,peakPos,lastPos,change,spotifyLink
hot-100,6/18/16,Messin' Around,Pitbull Featuring Enrique Iglesias,69,5,66,66,-3,https://embed.spotify.com/?uri=spotify:track:6rKEs1WbHJIi88UpHRhFLD
hot-100,6/18/16,Unsteady,X Ambassadors,70,3,70,86,16,https://embed.spotify.com/?uri=spotify:track:7lGKEWMXVWWTt3X71Bv44I
hot-100,6/18/16,You Don't Own Me,Grace Featuring G-Eazy,71,5,68,68,-3,https://embed.spotify.com/?uri=spotify:track:2CpH1L4CUR47RARB3PgY1l
hot-100,6/18/16,Mind Reader,Dustin Lynch,72,15,57,63,-9,https://embed.spotify.com/?uri=spotify:track:1N0j6Gw5lmfI7kipAgYcma
hot-100,6/18/16,Light It Up,Major Lazer Featuring Nyla & Fuse ODG,73,12,73,78,5,https://embed.spotify.com/?uri=spotify:track:40MkEbKzuSW9ET6HBngqnK
hot-100,6/18/16,Kill Em With Kindness,Selena Gomez,74,1,74,0,Hot Shot Debut,https://embed.spotify.com/?uri=spotify:track:2e3UDPZq6Y8aQ6ii8shPFY
hot-100,6/18/16,Think Of You,Chris Young Duet With Cassadee Pope,75,16,40,69,-6,https://embed.spotify.com/?uri=spotify:track:6W9W8dSswA8KNegvl3W97V
hot-100,6/18/16,Might Not,Belly Featuring The Weeknd,76,15,68,79,3,https://embed.spotify.com/?uri=spotify:track:5heM8paxfPJO5rAICyRb7L
hot-100,6/18/16,With You,Drake Featuring PARTYNEXTDOOR,77,5,47,64,-13,https://embed.spotify.com/?uri=spotify:track:5PMNu7kMZ4msbxiKnDTOt0
hot-100,6/18/16,Wherever I Go,OneRepublic,78,3,67,81,3,https://embed.spotify.com/?uri=spotify:track:0KdwmtG44yIDpyie4b0jCn
hot-100,6/18/16,Noise,Kenny Chesney,79,8,72,92,13,https://embed.spotify.com/?uri=spotify:track:3tBSdTfZuCzgA2PfQrqKpk
hot-100,6/18/16,Feel No Ways,Drake,80,5,53,65,-15,https://embed.spotify.com/?uri=spotify:track:12C1XYFQGZYXRYJNbsgDc7
hot-100,6/18/16,Law,Yo Gotti Featuring E-40,81,8,79,84,3,https://embed.spotify.com/?uri=spotify:track:7mhk9WyqZZzvTTCQKfh2iV
hot-100,6/18/16,Formation,Beyonce,82,6,10,75,-7,
hot-100,6/18/16,Gold,Kiiara,83,2,83,96,13,https://embed.spotify.com/?uri=spotify:track:6WhzFzROw3aq3rPWjgYlxr
hot-100,6/18/16,If It Ain't Love,Jason Derulo,84,8,67,76,-8,https://embed.spotify.com/?uri=spotify:track:5YHR8wBR5jXfGtP766NiAT
hot-100,6/18/16,Moolah,Young Greatness,85,8,85,88,3,https://embed.spotify.com/?uri=spotify:track:746PsZ5jTdqIJ6LgJAHcEZ
hot-100,6/18/16,From The Ground Up,Dan + Shay,86,2,86,90,4,https://embed.spotify.com/?uri=spotify:track:0AdjJ2SaOeb5bPJ67nDbsW
hot-100,6/18/16,9,Drake,87,5,45,72,-15,https://embed.spotify.com/?uri=spotify:track:4uCAKqQQYJaIvyzq4sZkaO
hot-100,6/18/16,Faded,Alan Walker,88,6,80,80,-8,https://embed.spotify.com/?uri=spotify:track:1brwdYwjltrJo7WHpIvbYt
hot-100,6/18/16,American Country Love Song,Jake Owen,89,2,83,0,Re-Entry,https://embed.spotify.com/?uri=spotify:track:3eGH1kOyOjq19khdfYg5R7
hot-100,6/18/16,Youth,Troye Sivan,90,17,23,87,-3,https://embed.spotify.com/?uri=spotify:track:285MYt4hkSGy5xrRosuPku
hot-100,6/18/16,Piece By Piece,Kelly Clarkson,91,14,8,89,-2,https://embed.spotify.com/?uri=spotify:track:15P4Osep3FIiZvDoccy1HK
